title,bagofwords
Goodfellas,biography crime drama martinscorsese robertdeniro rayliotta joepesci lorrainebracco biography crime drama martinscorsese robertdeniro rayliotta joepesci lorrainebracco mob partners jimmy conway american crime syndicate wife karen hill henry hill tommy devito mob story relationship life italian covering 
Home Alone,comedy family chriscolumbus macaulayculkin joepesci danielstern johnheard comedy family chriscolumbus macaulayculkin joepesci danielstern johnheard old troublemaker must protect accidentally left home alone christmas vacation year pair house family eight burglars 
Edward Scissorhands,drama fantasy romance timburton johnnydepp winonaryder diannewiest anthonymichaelhall drama fantasy romance timburton johnnydepp winonaryder diannewiest anthonymichaelhall suburban lady meets solitary life one day incompletely constructed artificial man world scissors leads introduces hands 
Back to the Future Part III,adventure comedy sci-fi robertzemeckis michaelj.fox christopherlloyd marysteenburgen thomasf.wilson adventure comedy sci-fi robertzemeckis michaelj.fox christopherlloyd marysteenburgen thomasf.wilson two must figure must travel back marty mcfly learns fuel readily available old west doc brown time stranded save murdered escape emmett delorean death 1955 1885 
The Godfather: Part III,crime drama francisfordcoppola alpacino dianekeaton andygarcia taliashire crime drama francisfordcoppola alpacino dianekeaton andygarcia taliashire follows michael corleone suitable successor seeks free find family empire crime 60s 
Die Hard 2,action thriller rennyharlin brucewillis williamatherton bonniebedelia reginaldveljohnson action thriller rennyharlin brucewillis williamatherton bonniebedelia reginaldveljohnson rogue military operatives seize control john mcclane attempts dulles international airport avert disaster washington c 
Total Recall,action sci-fi thriller paulverhoeven arnoldschwarzenegger sharonstone michaelironside rachelticotin action sci-fi thriller paulverhoeven arnoldschwarzenegger sharonstone michaelironside rachelticotin virtual vacation memories planet mars implanted man goes harrowing series events forces planet unexpected real mind go 
Pretty Woman,comedy romance garrymarshall richardgere juliaroberts jasonalexander laurasangiacomo comedy romance garrymarshall richardgere juliaroberts jasonalexander laurasangiacomo hurtful business needs social events meets ... beautiful prostitute man love legal hires fall escort 
Dances with Wolves,adventure drama western kevincostner kevincostner marymcdonnell grahamgreene rodneya.grant adventure drama western kevincostner kevincostner marymcdonnell grahamgreene rodneya.grant remote western civil war outpost lieutenant john dunbar intolerable aberration befriends wolves military making indians assigned 
Ghost,drama fantasy romance jerryzucker patrickswayze demimoore whoopigoldberg tonygoldwyn drama fantasy romance jerryzucker patrickswayze demimoore whoopigoldberg tonygoldwyn spirit stays behind young man reluctant psychic impending danger warn murdered lover help 
Misery,drama thriller robreiner jamescaan kathybates richardfarnsworth francessternhagen drama thriller robreiner jamescaan kathybates richardfarnsworth francessternhagen famous author car crash rescued receiving realize novels nightmare fan comes care captivity beginning abuse 
The Hunt for Red October,action adventure thriller johnmctiernan seanconnery alecbaldwin scottglenn samneill action adventure thriller johnmctiernan seanconnery alecbaldwin scottglenn samneill newest sub violates orders best submarine captain soviet union november 1984 war u trying start heads defect 
Predator 2,action horror sci-fi stephenhopkins dannyglover garybusey kevinpeterhall rubénblades action horror sci-fi stephenhopkins dannyglover garybusey kevinpeterhall rubénblades dystopian los angeles torn streets predator returns war time stake earth claim 
Kindergarten Cop,action comedy crime ivanreitman arnoldschwarzenegger penelopeannmiller pamelareed lindahunt action comedy crime ivanreitman arnoldschwarzenegger penelopeannmiller pamelareed lindahunt tough cop must pose may hold kindergarten teacher dangerous criminal behind bars wife putting order locate key ex 
Rocky V,drama sport johng.avildsen sylvesterstallone taliashire burtyoung sagestallone drama sport johng.avildsen sylvesterstallone taliashire burtyoung sagestallone rocky takes charge young protégé reluctantly retired train success mickey hungry gym fighting agrees 
Awakenings,biography drama pennymarshall robertdeniro robinwilliams juliekavner ruthnelson biography drama pennymarshall robertdeniro robinwilliams juliekavner ruthnelson encephalitis epidemic many years ago new drug offers catatonic ever since victims reviving prospect 
Miller's Crossing,crime drama thriller joelcoen ethancoen gabrielbyrne albertfinney johnturturro marciagayharden crime drama thriller joelcoen ethancoen gabrielbyrne albertfinney johnturturro marciagayharden era crime boss warring mobs tom reagan gets caught divided loyalties tries prohibition peace keep advisor 
Tremors,comedy horror ronunderwood kevinbacon fredward finncarter michaelgross comedy horror ronunderwood kevinbacon fredward finncarter michaelgross small isolated town defend strange underground creatures one natives killing 
Jacob's Ladder,drama horror mystery adrianlyne timrobbins elizabethpeña dannyaiello mattcraven drama horror mystery adrianlyne timrobbins elizabethpeña dannyaiello mattcraven haunted vietnam war veteran attempts must decipher reality severe case dead child uncover suffering perceptions past mourning life dreams dissociation delusions death 
Gremlins 2: The New Batch,comedy fantasy horror joedante chuckjones zachgalligan phoebecates johnglover robertprosky comedy fantasy horror joedante chuckjones zachgalligan phoebecates johnglover robertprosky new york city media mogul tech skyscraper taken control time high gremlins back 
Teenage Mutant Ninja Turtles,action adventure comedy stevebarron judithhoag eliaskoteas joshpais davidforman action adventure comedy stevebarron judithhoag eliaskoteas joshpais davidforman four teenage mutant ninja turtles emerge protect new york city criminal ninjas shadows gang 
Wild at Heart,comedy crime drama davidlynch nicolascage lauradern willemdafoe j.e.freeman comedy crime drama davidlynch nicolascage lauradern willemdafoe j.e.freeman young lovers sailor kill sailor lula run lula weirdos variety mom hired 
RoboCop 2,action crime sci-fi irvinkershner peterweller nancyallen belindabauer dano'herlihy action crime sci-fi irvinkershner peterweller nancyallen belindabauer dano'herlihy rogue ocp member secretly creates cyborg law enforcer robocop returns evil robocop 2 old detroit deadly challenge protect new faces citizens 
Flatliners,drama horror sci-fi joelschumacher kiefersutherland kevinbacon juliaroberts williambaldwin drama horror sci-fi joelschumacher kiefersutherland kevinbacon juliaroberts williambaldwin five medical students experiment past tragedies begin near death dark consequences lives jeopardize experiences 
Days of Thunder,action drama sport tonyscott tomcruise nicolekidman robertduvall randyquaid action drama sport tonyscott tomcruise nicolekidman robertduvall randyquaid shot stock car driver gets young hot top level compete chance 
Nikita,action thriller lucbesson anneparillaud marcduret patrickfontana alainlathière action thriller lucbesson anneparillaud marcduret patrickfontana alainlathière top secret spy convicted felon nikita new identity trained stylishly jail instead going given assassin 
Arachnophobia,comedy horror thriller frankmarshall jeffdaniels juliansands johngoodman harleyjanekozak comedy horror thriller frankmarshall jeffdaniels juliansands johngoodman harleyjanekozak south american killer spider hitches u starts species lift kill coffin breed 
Darkman,action sci-fi thriller samraimi liamneeson francesmcdormand colinfriels larrydrake action sci-fi thriller samraimi liamneeson francesmcdormand colinfriels larrydrake brilliant scientist left exact revenge dead returns people burned alive 
Dick Tracy,action comedy crime warrenbeatty warrenbeatty madonna alpacino charliekorsmo action comedy crime warrenbeatty warrenbeatty madonna alpacino charliekorsmo breathless mahoney makes advances towards comic strip detective finds battle big boy caprice life vastly complicated united mob trying 
