imdb_title_id,title,year,certificate,genre,runtime,description,IMDb_rating,MetaScore,ratingCount,directors,stars
tt0816692,Interstellar,2014,PG-13,"Adventure, Drama, Sci-Fi",169 min,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,8.6,74        ,1564144,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy"
tt2015381,Guardians of the Galaxy,2014,PG-13,"Action, Adventure, Comedy",121 min,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,76        ,1066610,James Gunn,"Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana"
tt2267998,Gone Girl,2014,R,"Drama, Mystery, Thriller",149 min,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",8.1,79        ,884691,David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry"
tt2582802,Whiplash,2014,R,"Drama, Music",106 min,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,8.5,88        ,741182,Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser"
tt2278388,The Grand Budapest Hotel,2014,R,"Adventure, Comedy, Crime",99 min,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",8.1,88        ,728399,Wes Anderson,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody"
tt2084970,The Imitation Game,2014,PG-13,"Biography, Drama, Thriller",114 min,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",8.0,73        ,701575,Morten Tyldum,"Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech"
tt2265171,The Raid 2,2014,R,"Action, Crime, Thriller",150 min,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",8.0,71        ,116238,Gareth Evans,"Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara"
tt1865505,Song of the Sea,2014,PG,"Animation, Adventure, Drama",93 min,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",8.1,85        ,53683,Tomm Moore,"David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan"
tt3612616,Mommy,2014,R,Drama,139 min,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",8.1,74        ,52314,Xavier Dolan,"Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard"
tt2758880,Winter Sleep,2014,Not Rated,Drama,196 min,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,8.1,88        ,48099,Nuri Bilge Ceylan,"Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan"
tt2170667,Wheels,2014,R,Drama,115 min,Two suicidal paraplegic junkies hustle their way through the city streets trying to find a reason to live.,8.5,,17949,"Tim Gagliardo,Donavon Warren","Donavon Warren,Patrick Hume,Diana Gettinger,Kevin McCorkle"
tt1801071,See You in Montevideo,2014,,"Adventure, Biography, Comedy",141 min,"A football team from Belgrade, in the former Yugoslavia, gets a chance to go to the First World Football Championship, but things get complicated along the way.",8.2,,6777,Dragan Bjelogrlic,"Milos Bikovic,Petar Strugar,Armand Assante,Viktor Savic"
tt3313066,Coriolanus,2014,,"Drama, History, War",192 min,"Caius Martius Coriolanus is a war hero, banished from his home, seeking to come back.",8.5,,1864,"Josie Rourke,Tim Van Someren","Rochenda Sandall,Mark Stanley,Dwane Walcott,Mark Gatiss"
tt4085696,Billy Elliot,2014,Not Rated,"Comedy, Drama, Music",169 min,A talented young dancer has to learn to fight for his dream despite social and parental disapproval.,8.4,,1522,"Stephen Daldry,Brett Sullivan","Elliott Hanna,Ollie Jochim,Bradley Perret,Matteo Zecca"
tt4020156,National Theatre Live: A Streetcar Named Desire,2014,,Drama,180 min,"As Blanche's fragile world crumbles, she turns to her sister Stella for solace - but her downward spiral brings her face to face with the brutal, unforgiving Stanley Kowalski.",8.3,,867,"Benedict Andrews,Nick Wickham","Gillian Anderson,Clare Burt,Lachele Carl,Branwell Donaghey"
tt2548094,Thanha Rathi Ranga,2014,,Drama,95 min,Three friends embark on a journey to a land that was once forbidden but a sudden encounter forces them to return to yet another land of turmoil and terror.,8.4,,588,Nilendra Deshapriya,"Mohamed Adamaly,Kamal Addaraarachchi,Thumindu Dodantenne,Dayadewa Edirisinghe"
